Model 1,Model 2,T-test_stats,T-test_p-value,Wilcoxon_stats,Wilcoxon_p-value,Mann-Whitney_stats,Mann-Whitney_p-value,Kruskal-Wallis_stats,Kruskal-Wallis_p-value,Bootstrap CI_lower,Bootstrap CI_upper
resnet50,vgg16,-0.4249430917893407,0.6716455432027693,115.0,0.6698153575994166,7080.0,0.7520761057944151,0.10063157894722445,0.7510730270685234,-0.125,0.08333333333333333
resnet50,vit-ti16,0.2571922625628131,0.7974745382860159,56.0,0.7962534147376392,7260.0,0.8776138715626187,0.024114620118970073,0.8765936226962385,-0.09187499999999998,0.10833333333333334
resnet50,vit-s16,-1.2946259452166746,0.19795574088135842,40.0,0.19670560245894686,6900.0,0.41779875325208915,0.6586925366552351,0.41702190678757034,-0.14166666666666666,0.058333333333333334
resnet50,vit-s32,-0.2076814132492512,0.8358327313863658,132.0,0.8348273291852392,7140.0,0.8759128922382222,0.024795103226383692,0.874878697481058,-0.10833333333333334,0.0918749999999998
resnet50,vit-b16,0.445717893666563,0.6566108944032825,94.5,0.6547208460185769,7320.0,0.7586690486244907,0.09518120270794828,0.7576908611903443,-0.09187499999999998,0.125
resnet50,vit-b32,0.22850795207108038,0.819643587726001,90.0,0.8185458083820434,7260.0,0.8776138715626187,0.024114620118970073,0.8765936226962385,-0.1,0.10833333333333334
resnet50,vim-s,-1.711338381428664,0.08962394140966444,45.0,0.0895550744136426,6780.0,0.2485543192839872,1.3345868945869133,0.24799084091050408,-0.15,0.041666666666666664
resnet50,vssm-ti,-2.58249711298632,0.011020423738549986,40.0,0.011616891434158364,6540.0,0.059939379455636606,3.5444294643950918,0.05974571082508824,-0.19166666666666668,0.00020833333333314386
resnet50,vssm-s,-1.2273260014861784,0.22212252877094582,112.5,0.22067136191984693,6840.0,0.32681796510671723,0.96414164051979,0.32614559566907586,-0.15833333333333333,0.058333333333333334
resnet50,vssm-b,-0.8936765176062339,0.37329881405261733,84.0,0.37109336952269756,6960.0,0.5203480078706194,0.4149305555554357,0.5194774992001983,-0.14166666666666666,0.075
vgg16,resnet50,0.4249430917893407,0.6716455432027693,115.0,0.6698153575994166,7320.0,0.7520761057944151,0.10063157894722445,0.7510730270685234,-0.09166666666666666,0.10854166666666648
