Model 1,Model 2,T-test_stats,T-test_p-value,Wilcoxon_stats,Wilcoxon_p-value,Mann-Whitney_stats,Mann-Whitney_p-value,Kruskal-Wallis_stats,Kruskal-Wallis_p-value,Bootstrap CI_lower,Bootstrap CI_upper
resnet50,vgg16,0.12393030625279192,0.901413098742468,1056.0,0.901287773180033,171405.0,0.9338628214270832,0.006910249514144428,0.9337498332275475,-0.037649572649572645,0.042735042735042736
resnet50,vit-ti16,-0.23885298777278693,0.811303373889351,1207.0,0.8110701293339075,170527.5,0.8670888179890078,0.02805644890333662,0.8669761803918845,-0.042735042735042736,0.03418803418803419
resnet50,vit-s16,-0.5848765680146185,0.5588566084481148,1258.0,0.558409388489248,169650.0,0.6731613317428358,0.1780481415381438,0.6730560305060748,-0.047905982905982906,0.02905982905982906
resnet50,vit-s32,0.9648443130126312,0.3350221533417813,1716.0,0.3345942595854855,173745.0,0.463041487688149,0.538737262533538,0.46295651739755705,-0.023931623931623933,0.0547008547008547
resnet50,vit-b16,-1.0997217570531346,0.2719064894055092,986.0,0.2715391358765703,168480.0,0.4428738336764949,0.5890487654676368,0.4427871911132836,-0.0547008547008547,0.020512820512820513
resnet50,vit-b32,-0.22627169030352562,0.8210692866194899,1501.0,0.8208472385419284,170527.5,0.8670888179890078,0.02805644890333662,0.8669761803918845,-0.042735042735042736,0.039316239316239315
resnet50,vim-s,-1.6951638920003762,0.09057738568184481,690.0,0.09055909266543183,167310.0,0.26251968944573034,1.2557508342609243,0.262456934839721,-0.05982905982905983,0.018803418803418803
resnet50,vssm-ti,-2.148407290558222,0.032091962936910974,736.0,0.03220968567371043,166140.0,0.13844133653468532,2.195640447393827,0.13840167344325774,-0.06837606837606838,0.008547008547008548
resnet50,vssm-s,-1.0997217570531346,0.2719064894055092,986.0,0.2715391358765703,168480.0,0.4428738336764949,0.5890487654676368,0.4427871911132836,-0.05299145299145299,0.02564102564102564
resnet50,vssm-b,-2.435558488277842,0.015166918322993116,828.0,0.015293371030198965,165262.5,0.07873032296996432,3.0914476119960814,0.07870476106581852,-0.06837606837606838,0.0
vgg16,resnet50,-0.12393030625279192,0.901413098742468,1056.0,0.901287773180033,170820.0,0.9338628214270832,0.006910249514144428,0.9337498332275475,-0.041025641025641026,0.037606837606837605
vgg16,vit-ti16,-0.3608889806827492,0.7183129463755611,1155.0,0.7179816667337766,170235.0,0.8022165165644529,0.06281156530474258,0.802106095694344,-0.044444444444444446,0.03418803418803419
vgg16,vit-s16,-0.7875828695576138,0.43126026475033985,767.0,0.4307911212275324,169357.5,0.613622155390281,0.2550792804152145,0.6135210913737383,-0.05128205128205128,0.02905982905982906
vgg16,vit-s32,0.9175389074229123,0.35923907652602427,1309.0,0.3587953578869416,173452.5,0.5151842558414984,0.42370424066806134,0.5150944635473168,-0.02905982905982906,0.051324786324786285
vgg16,vit-b16,-1.2706682229944373,0.20435264716801607,819.0,0.2040841777655732,168187.5,0.39511461894186883,0.7233910891090336,0.3950338182193427,-0.05641025641025641,0.020512820512820513
vgg16,vit-b32,-0.32904170924360077,0.7422421268643626,1680.0,0.741934400848354,170235.0,0.8022165165644529,0.06281156530474258,0.802106095694344,-0.044444444444444446,0.035897435897435895
vgg16,vim-s,-1.7813009879056876,0.07538291603321406,756.0,0.07540356287126339,167017.5,0.22883123870456545,1.4484650786426818,0.22877440337506005,-0.05982905982905983,0.018803418803418803
vgg16,vssm-ti,-2.2578669452782245,0.024322328185888354,747.5,0.02444894531008939,165847.5,0.117727866740271,2.447756178266297,0.11769299908487506,-0.06837606837606838,0.011965811965811967
vgg16,vssm-s,-1.2706682229944373,0.20435264716801607,819.0,0.2040841777655732,168187.5,0.39511461894186883,0.7233910891090336,0.3950338182193427,-0.05641025641025641,0.022222222222222223
vgg16,vssm-b,-2.7492495254131954,0.0061580605189537705,570.0,0.006257629080442145,164970.0,0.06566417937740877,3.388762168949951,0.06564221165711029,-0.07692307692307693,0.0
vit-ti16,resnet50,0.23885298777278693,0.811303373889351,1207.0,0.8110701293339075,171697.5,0.8670888179890078,0.02805644890333662,0.8669761803918845,-0.03418803418803419,0.046153846153846156
vit-ti16,vgg16,0.3608889806827492,0.7183129463755611,1155.0,0.7179816667337766,171990.0,0.8022165165644529,0.06281156530474258,0.802106095694344,-0.035897435897435895,0.046153846153846156
vit-ti16,vit-s16,-0.38383060508589656,0.7012437030281051,899.0,0.7008964458564653,170235.0,0.799229375598713,0.06476494161311973,0.7991173602803994,-0.042735042735042736,0.035897435897435895
vit-ti16,vit-s32,1.2381604002413507,0.21615408934938674,1360.0,0.21586564200583258,174330.0,0.3675032827573872,0.8123417085439001,0.36742882832815127,-0.023931623931623933,0.05987179487179484
vit-ti16,vit-b16,-0.868060219307276,0.38571792986638964,957.0,0.3852612410903167,169065.0,0.5485122860194067,0.3601649889032333,0.5484146191722671,-0.047905982905982906,0.022222222222222223
vit-ti16,vit-b32,0.0,1.0,1387.5,1.0,171112.5,1.0,1.257704169053019e-12,0.999999105193126,-0.039316239316239315,0.041025641025641026
vit-ti16,vim-s,-1.43336820017698,0.15228777464753462,720.0,0.15212149388422935,167895.0,0.3404418037771435,0.9090494277042347,0.34036675936491134,-0.05816239316239316,0.022222222222222223
vit-ti16,vssm-ti,-1.836252836721979,0.06682841821798112,884.0,0.0668707601224646,166725.0,0.18859410457321113,1.7289602902802532,0.18854373256407186,-0.06495726495726496,0.01029914529914526
vit-ti16,vssm-s,-0.868060219307276,0.38571792986638964,957.0,0.3852612410903167,169065.0,0.5485122860194067,0.3601649889032333,0.5484146191722671,-0.0547008547008547,0.02905982905982906
vit-ti16,vssm-b,-2.3728512677210154,0.01797419017288022,590.0,0.018102455149462248,165847.5,0.11149259117060785,2.5334171660973195,0.11145860574279871,-0.06666666666666667,0.006837606837606838
vit-s16,resnet50,0.5848765680146185,0.5588566084481148,1258.0,0.558409388489248,172575.0,0.6731613317428358,0.1780481415381438,0.6730560305060748,-0.03076923076923077,0.04786324786324787
vit-s16,vgg16,0.7875828695576138,0.43126026475033985,767.0,0.4307911212275324,172867.5,0.613622155390281,0.2550792804152145,0.6135210913737383,-0.02735042735042735,0.05299145299145299
vit-s16,vit-ti16,0.38383060508589656,0.7012437030281051,899.0,0.7008964458564653,171990.0,0.799229375598713,0.06476494161311973,0.7991173602803994,-0.03418803418803419,0.046153846153846156
vit-s16,vit-s32,1.753098427728536,0.08010976891532613,812.5,0.08011831372763417,175207.5,0.24801334132992625,1.3347858507713914,0.24795559129098374,-0.013675213675213675,0.06837606837606838
vit-s16,vit-b16,-0.5440033981688267,0.5866467553219059,687.5,0.58621368107314,169942.5,0.7296429493451196,0.11954187544804414,0.7295318945941305,-0.044444444444444446,0.03076923076923077
vit-s16,vit-b32,0.3557686112134554,0.7221423289611869,1224.0,0.721814730439508,171990.0,0.799229375598713,0.06476494161311973,0.7991173602803994,-0.03423076923076923,0.04106837606837603
vit-s16,vim-s,-1.0691757456754662,0.28543220211178044,684.0,0.28504940740261275,168772.5,0.4844700060795528,0.48899346405361827,0.48437664091990484,-0.05128205128205128,0.02564102564102564
vit-s16,vssm-ti,-1.6666270308406306,0.0961247747275246,530.0,0.0960923294556733,167602.5,0.28870673072435693,1.125963184932142,0.28863803968709073,-0.05641025641025641,0.017094017094017096
vit-s16,vssm-s,-0.5894387926497203,0.5557949122639843,493.5,0.5553463166714221,169942.5,0.7296429493451196,0.11954187544804414,0.7295318945941305,-0.042735042735042736,0.03076923076923077
