Model 1,Model 2,T-test_stats,T-test_p-value,Wilcoxon_stats,Wilcoxon_p-value,Mann-Whitney_stats,Mann-Whitney_p-value,Kruskal-Wallis_stats,Kruskal-Wallis_p-value,Bootstrap CI_lower,Bootstrap CI_upper
resnet50,vgg16,1.4110386916867461,0.1586749530579444,1548.0,0.15852551722895514,253095.0,0.30759785249879557,1.0411891508995494,0.3075450680822813,-0.015602836879432624,0.0524822695035461
resnet50,vit-ti16,1.634929594602493,0.10251083019760213,1940.0,0.10247043485974937,254152.5,0.21227768748134956,1.5561000862816787,0.21223715745921587,-0.01276595744680851,0.05815602836879433
resnet50,vit-s16,0.3609347187602125,0.7182565280412694,1155.0,0.7179816667337766,249570.0,0.8096040770272401,0.05810548888462275,0.8095157432552769,-0.028368794326241134,0.03546099290780142
resnet50,vit-s32,1.0912370852312672,0.2755418994861055,1572.5,0.27523352407483437,252037.5,0.42940808813850573,0.6246010355353477,0.4293426333923832,-0.019858156028368795,0.05106382978723404
resnet50,vit-b16,-0.6543881449737904,0.5130754876421251,1657.5,0.5126907602619235,246397.5,0.6220593417101485,0.24309868875029356,0.6219769819128392,-0.04113475177304964,0.02553191489361702
resnet50,vit-b32,0.843101075700617,0.3994582711899064,1865.5,0.3990751965482372,251332.5,0.5253713186904111,0.4034792568982081,0.5252978719229965,-0.024113475177304965,0.04397163120567376
resnet50,vim-s,0.2234560792073122,0.8232453869509511,1579.5,0.8230632737581214,249217.5,0.8721116239080735,0.02595034624889002,0.8720216407022902,-0.031205673758865248,0.03829787234042553
resnet50,vssm-ti,-1.3959098034789845,0.16318170669409016,1162.5,0.1630243843065704,244282.5,0.31650752712496677,1.0035612535618854,0.316450320431929,-0.04964539007092199,0.015638297872340393
resnet50,vssm-s,-0.11103325313006208,0.9116216241603415,1640.0,0.9115282379093772,248160.0,0.9354202757796275,0.006584081381060703,0.935328744230807,-0.03546099290780142,0.03404255319148936
resnet50,vssm-b,-0.6623253252228944,0.5079795061909018,1577.0,0.5075937168646562,246397.5,0.6220593417101485,0.24309868875029356,0.6219769819128392,-0.0425886524822695,0.024148936170212732
vgg16,resnet50,-1.4110386916867461,0.1586749530579444,1548.0,0.15852551722895514,243930.0,0.30759785249879557,1.0411891508995494,0.3075450680822813,-0.05390070921985816,0.015638297872340393
vgg16,vit-ti16,0.3013168587518264,0.7632618629043595,2400.0,0.763024600552995,249570.0,0.8201211684787756,0.05175474755089952,0.8200375366319648,-0.03404255319148936,0.04113475177304964
vgg16,vit-s16,-1.1182325561946271,0.2638491119913603,1417.5,0.2635524772829727,244987.5,0.43566298482484367,0.6078515962045121,0.4355978707083532,-0.05106382978723404,0.02127659574468085
vgg16,vit-s32,-0.32518924838649366,0.7451344622860271,1763.0,0.744881619545956,247455.0,0.8178941288173591,0.05306723691175109,0.8178094986968996,-0.03971631205673759,0.032624113475177303
vgg16,vit-b16,-2.0183818007537,0.043930252268278805,1575.0,0.044009956390248774,241815.0,0.13052531218514213,2.286587037926205,0.13049659762213947,-0.059574468085106386,0.0070921985815602835
vgg16,vit-b32,-0.5182068093175445,0.6044768031811876,2068.0,0.6041263073291684,246750.0,0.6998851192046587,0.14867574126727914,0.6998040929766376,-0.0425531914893617,0.028404255319148905
vgg16,vim-s,-1.2380642589816129,0.2161049426914176,1360.0,0.21586564200583258,244635.0,0.39011103741528375,0.7387864054514878,0.3900499132474172,-0.05109929078014184,0.019858156028368795
vgg16,vssm-ti,-2.9019050004400473,0.003824854311479483,950.0,0.003892417122778628,239700.0,0.04354424009936458,4.074609600924372,0.04353232455453235,-0.07234042553191489,-0.0028368794326241137
vgg16,vssm-s,-1.528973809722043,0.1267201076106412,1487.5,0.12663045794761718,243577.5,0.2707807759067429,1.2130332419710195,0.27073222703672667,-0.053936170212765956,0.014184397163120567
vgg16,vssm-b,-2.090499819864423,0.03693102925230555,1344.0,0.03702203943241622,241815.0,0.13052531218514213,2.286587037926205,0.13049659762213947,-0.062411347517730496,0.009929078014184398
vit-ti16,resnet50,-1.634929594602493,0.10251083019760213,1940.0,0.10247043485974937,242872.5,0.21227768748134956,1.5561000862816787,0.21223715745921587,-0.05677304964539007,0.009929078014184398
vit-ti16,vgg16,-0.3013168587518264,0.7632618629043595,2400.0,0.763024600552995,247455.0,0.8201211684787756,0.05175474755089952,0.8200375366319648,-0.03971631205673759,0.031205673758865248
vit-ti16,vit-s16,-1.4455602765493931,0.148745567931157,1394.0,0.14861399645521173,243930.0,0.3140483779331158,1.0137942191998408,0.3139955742886642,-0.05390070921985816,0.015602836879432624
